Year,Crop,Region,Area (ha),Total production (t),Yield (t/ha),Selling price (RSD/kg),Seed price (RSD/kg)
2016,Wheat,Belgrade Region,29136.0,126981.0,4.4,19.76,42.0
2016,Barley,Southern and Eastern Serbia Region,22636.0,83572.0,3.7,22.42,43.5
2016,Corn,Southern and Eastern Serbia Region,180568.0,993387.0,5.5,22.88,411.12
2016,Wheat,Southern and Eastern Serbia Region,137674.0,521425.0,3.8,20.16,45.38
2016,Barley,Vojvodina Region,35440.0,177029.0,5.0,19.56,42.0
2016,Corn,Vojvodina Region,571835.0,4845730.0,8.5,17.91,402.88
2016,Wheat,Vojvodina Region,300051.0,1775668.0,5.9,18.13,50.12
2016,Barley,Sumadija and Western Serbia Region,28430.0,113543.0,4.0,24.31,41.9
2016,Corn,Sumadija and Western Serbia Region,214671.0,1278580.0,6.0,22.62,425.06
2016,Wheat,Sumadija and Western Serbia Region,128257.0,460463.0,3.6,23.62,43.62
2017,Barley,Belgrade Region,5076.0,18240.0,3.6,20.74,40.67
2017,Corn,Belgrade Region,40317.0,136763.0,3.4,20.82,367.14
2017,Wheat,Belgrade Region,25283.0,90766.0,3.6,19.97,45.5
2017,Barley,Southern and Eastern Serbia Region,19918.0,52962.0,2.7,21.9,43.19
2017,Corn,Southern and Eastern Serbia Region,180026.0,499430.0,2.8,22.56,405.21
2017,Wheat,Southern and Eastern Serbia Region,129311.0,410984.0,3.2,19.47,49.74
2017,Barley,Vojvodina Region,34378.0,145178.0,4.2,18.49,45.02
2017,Corn,Vojvodina Region,568255.0,2645696.0,4.7,17.16,387.32
2017,Wheat,Vojvodina Region,286449.0,1353710.0,4.7,18.67,48.94
2017,Barley,Sumadija and Western Serbia Region,25315.0,89113.0,3.5,23.75,37.53
2017,Corn,Sumadija and Western Serbia Region,213721.0,736481.0,3.4,21.02,408.07
2017,Wheat,Sumadija and Western Serbia Region,115072.0,420163.0,3.7,21.94,45.78
2018,Barley,Belgrade Region,7883.0,29309.0,3.7,21.6,47.5
2018,Corn,Belgrade Region,32769.0,213319.0,6.5,21.74,374.85
2018,Wheat,Belgrade Region,31063.0,121304.0,3.9,20.64,50.0
2018,Barley,Southern and Eastern Serbia Region,22262.0,66130.0,3.0,19.81,44.45
2018,Corn,Southern and Eastern Serbia Region,161418.0,882738.0,5.5,23.19,385.1
2018,Wheat,Southern and Eastern Serbia Region,152102.0,505423.0,3.3,19.66,52.44
2018,Barley,Vojvodina Region,38456.0,171937.0,4.5,18.39,45.58
2018,Corn,Vojvodina Region,517619.0,4657345.0,9.0,17.27,401.18
2018,Wheat,Vojvodina Region,329507.0,1796142.0,5.5,19.08,50.36
2018,Barley,Sumadija and Western Serbia Region,37139.0,142762.0,3.8,24.16,46.18
2018,Corn,Sumadija and Western Serbia Region,189947.0,1211368.0,6.4,22.17,402.73
2018,Wheat,Sumadija and Western Serbia Region,130411.0,518732.0,4.0,23.5,50.0
2019,Barley,Belgrade Region,7362.0,25816.0,3.5,21.92,48.4
2019,Corn,Belgrade Region,37838.0,242541.0,6.4,19.88,377.51
2019,Wheat,Belgrade Region,29513.0,112006.0,3.8,22.09,53.5
2019,Barley,Southern and Eastern Serbia Region,21084.0,58848.0,2.8,19.45,45.98
2019,Corn,Southern and Eastern Serbia Region,175722.0,1040401.0,5.9,20.65,375.67
2019,Wheat,Southern and Eastern Serbia Region,127099.0,441028.0,3.5,21.12,52.31
2019,Barley,Vojvodina Region,35750.0,155298.0,4.3,18.62,45.46
2019,Corn,Vojvodina Region,545018.0,4775447.0,8.8,16.62,393.78
2019,Wheat,Vojvodina Region,302429.0,1529218.0,5.1,20.86,50.91
2019,Barley,Sumadija and Western Serbia Region,35922.0,133378.0,3.7,24.62,44.85
2019,Corn,Sumadija and Western Serbia Region,203505.0,1286151.0,6.3,19.58,376.82
2019,Wheat,Sumadija and Western Serbia Region,118458.0,452391.0,3.8,23.18,48.61
2020,Barley,Belgrade Region,8630.0,39439.0,4.6,21.35,48.0
2020,Corn,Belgrade Region,40740.0,309340.0,7.6,21.48,371.5
2020,Wheat,Belgrade Region,27718.0,134737.0,4.9,21.64,50.94
2020,Barley,Southern and Eastern Serbia Region,25082.0,103732.0,4.1,17.49,46.68
2020,Corn,Southern and Eastern Serbia Region,172320.0,1215222.0,7.1,21.03,401.47
2020,Wheat,Southern and Eastern Serbia Region,112007.0,493221.0,4.4,21.64,52.91
2020,Barley,Vojvodina Region,42732.0,207253.0,4.9,17.83,48.14
2020,Corn,Vojvodina Region,569556.0,4772803.0,8.4,17.68,407.89
2020,Wheat,Vojvodina Region,317204.0,1650085.0,5.2,20.41,55.02
2020,Barley,Sumadija and Western Serbia Region,29874.0,139691.0,4.7,24.77,46.55
2020,Corn,Sumadija and Western Serbia Region,213911.0,1575243.0,7.4,20.48,411.88
2020,Wheat,Sumadija and Western Serbia Region,124199.0,595460.0,4.8,23.32,53.36
2021,Barley,Belgrade Region,7483.0,41254.0,5.5,27.08,49.33
2021,Corn,Belgrade Region,39918.0,236235.0,5.9,27.75,465.29
2021,Wheat,Belgrade Region,29676.0,171705.0,5.8,26.78,54.12
2021,Barley,Southern and Eastern Serbia Region,22746.0,106033.0,4.7,20.04,49.38
2021,Corn,Southern and Eastern Serbia Region,182247.0,924338.0,5.1,24.87,435.34
2021,Wheat,Southern and Eastern Serbia Region,118309.0,570747.0,4.8,23.95,55.15
2021,Barley,Vojvodina Region,40873.0,265920.0,6.5,23.27,50.56
2021,Corn,Vojvodina Region,574854.0,3678706.0,6.4,25.09,423.61
2021,Wheat,Vojvodina Region,330727.0,2077296.0,6.3,25.18,53.55
2021,Barley,Sumadija and Western Serbia Region,27393.0,140718.0,5.1,28.25,46.09
2021,Corn,Sumadija and Western Serbia Region,223318.0,1187852.0,5.3,28.07,415.12
2021,Wheat,Sumadija and Western Serbia Region,120023.0,622559.0,5.2,27.66,50.82
2022,Barley,Belgrade Region,7402.0,34190.0,4.6,38.86,59.67
2022,Corn,Belgrade Region,36414.0,173404.0,4.8,40.38,525.04
2022,Wheat,Belgrade Region,32174.0,160996.0,5.0,39.44,61.82
2022,Barley,Southern and Eastern Serbia Region,23685.0,101238.0,4.3,36.0,56.71
2022,Corn,Southern and Eastern Serbia Region,171984.0,768649.0,4.5,37.9,476.68
2022,Wheat,Southern and Eastern Serbia Region,129613.0,521305.0,4.0,36.99,58.36
2022,Barley,Vojvodina Region,37179.0,195599.0,5.3,33.45,55.32
2022,Corn,Vojvodina Region,543650.0,2385839.0,4.4,33.83,493.78
2022,Wheat,Vojvodina Region,342930.0,1843120.0,5.4,37.02,58.77
2022,Barley,Sumadija and Western Serbia Region,25549.0,120974.0,4.7,40.95,55.78
2022,Corn,Sumadija and Western Serbia Region,200168.0,955402.0,4.8,39.64,490.48
2022,Wheat,Sumadija and Western Serbia Region,126369.0,584406.0,4.6,40.73,59.77
2023,Barley,Belgrade Region,7607.0,35674.0,4.7,36.31,85.75
2023,Corn,Belgrade Region,35573.0,216319.0,6.1,36.82,641.31
2023,Wheat,Belgrade Region,34105.0,164215.0,4.8,30.74,98.11
2023,Barley,Southern and Eastern Serbia Region,28771.0,128500.0,4.5,22.85,85.13
2023,Corn,Southern and Eastern Serbia Region,174428.0,1071511.0,6.1,33.03,620.78
2023,Wheat,Southern and Eastern Serbia Region,138663.0,541618.0,3.9,29.65,91.0
2023,Barley,Vojvodina Region,41266.0,223744.0,5.4,27.73,87.25
2023,Corn,Vojvodina Region,507494.0,3971950.0,7.8,26.82,650.52
2023,Wheat,Vojvodina Region,375395.0,2169172.0,5.8,26.64,92.36
2023,Barley,Sumadija and Western Serbia Region,31195.0,150298.0,4.8,37.57,87.82
2023,Corn,Sumadija and Western Serbia Region,205485.0,1371204.0,6.7,33.56,621.81
2023,Wheat,Sumadija and Western Serbia Region,134083.0,573695.0,4.3,35.11,89.26
2024,Barley,Belgrade Region,7038.0,34611.0,4.9,34.33,62.0
2024,Corn,Belgrade Region,40015.0,201996.0,5.0,28.02,708.99
2024,Wheat,Belgrade Region,29027.0,159910.0,5.5,24.93,59.2
2024,Barley,Southern and Eastern Serbia Region,25292.0,119373.0,4.7,21.07,66.53
2024,Corn,Southern and Eastern Serbia Region,186293.0,453762.0,2.4,27.63,743.97
2024,Wheat,Southern and Eastern Serbia Region,97995.0,399595.0,4.1,24.27,65.73
2024,Barley,Vojvodina Region,38745.0,225070.0,5.8,25.76,65.39
2024,Corn,Vojvodina Region,536582.0,3291931.0,6.1,21.73,746.7
2024,Wheat,Vojvodina Region,327892.0,1920136.0,5.9,22.48,66.78
2024,Barley,Sumadija and Western Serbia Region,27138.0,139706.0,5.1,28.88,59.59
2024,Corn,Sumadija and Western Serbia Region,224602.0,1159620.0,5.2,25.03,680.9
2024,Wheat,Sumadija and Western Serbia Region,94118.0,420896.0,4.5,26.26,68.31
2025,Barley,Belgrade Region,7138.0,35740.0,5.0,,66.33
2025,Corn,Belgrade Region,38476.0,180796.0,4.7,29.79,660.81
2025,Wheat,Belgrade Region,32164.0,186498.0,5.8,26.68,71.14
2025,Barley,Southern and Eastern Serbia Region,25690.0,126106.0,4.9,26.72,65.31
2025,Corn,Southern and Eastern Serbia Region,186754.0,398328.0,2.1,33.08,810.03
2025,Wheat,Southern and Eastern Serbia Region,108039.0,540077.0,5.0,25.42,70.6
2025,Barley,Vojvodina Region,37937.0,223892.0,5.9,24.9,60.89
2025,Corn,Vojvodina Region,526372.0,2797055.0,5.3,25.5,823.12
2025,Wheat,Vojvodina Region,362285.0,2361035.0,6.5,23.85,67.69
2025,Barley,Sumadija and Western Serbia Region,28083.0,150216.0,5.3,31.76,67.22
2025,Corn,Sumadija and Western Serbia Region,223840.0,1071775.0,4.8,30.33,681.67
2025,Wheat,Sumadija and Western Serbia Region,104587.0,593693.0,5.7,28.91,69.06
